Tokens:
Type                          Lexeme
IDENTIFIER                    x
OPERATOR                      =
NUMBER                        5
IDENTIFIER                    y
OPERATOR                      =
NUMBER                        6
KEYWORD                       if
PUNCTUATION                   (
IDENTIFIER                    x
OPERATOR                      >
IDENTIFIER                    y
PUNCTUATION                   )
PUNCTUATION                   :
IDENTIFIER                    print
PUNCTUATION                   (
STRING_LITERAL                "hello world"
PUNCTUATION                   )

Total number of tokens: 17
